frame_no,quadrant,color,box
334,4,raw_umber,"[1033, 192, 1170, 328]"
335,1,burnt_sienna,"[1065, 725, 1191, 853]"
335,4,raw_umber,"[1032, 191, 1170, 328]"
336,1,burnt_sienna,"[1063, 720, 1193, 850]"
336,4,raw_umber,"[1033, 191, 1170, 327]"
337,1,burnt_sienna,"[1062, 716, 1190, 845]"
337,4,raw_umber,"[1033, 191, 1171, 327]"
338,4,raw_umber,"[1032, 191, 1170, 328]"
339,4,raw_umber,"[1032, 191, 1171, 327]"
340,1,dim_gray,"[1051, 711, 1182, 841]"
340,4,raw_umber,"[1033, 191, 1170, 327]"
341,1,burnt_sienna,"[1046, 711, 1177, 839]"
341,4,raw_umber,"[1034, 191, 1169, 326]"
342,4,raw_umber,"[1034, 192, 1169, 327]"
343,4,raw_umber,"[1033, 192, 1170, 327]"
344,1,dim_gray,"[1042, 709, 1179, 838]"
344,4,raw_umber,"[1033, 192, 1170, 326]"
345,1,burnt_sienna,"[1045, 707, 1182, 837]"
345,4,raw_umber,"[1033, 191, 1170, 327]"
346,1,burnt_sienna,"[1052, 708, 1186, 840]"
346,4,raw_umber,"[1033, 191, 1170, 327]"
347,4,raw_umber,"[1033, 191, 1170, 327]"
348,4,raw_umber,"[1032, 191, 1170, 327]"
349,4,raw_umber,"[1033, 191, 1170, 327]"
350,4,raw_umber,"[1033, 191, 1170, 327]"
351,4,raw_umber,"[1032, 192, 1170, 328]"
352,4,raw_umber,"[1032, 191, 1170, 328]"
353,4,raw_umber,"[1031, 191, 1170, 328]"
354,4,raw_umber,"[1032, 191, 1169, 328]"
355,4,raw_umber,"[1033, 190, 1170, 327]"
356,4,raw_umber,"[1032, 190, 1170, 327]"
357,4,raw_umber,"[1032, 191, 1170, 327]"
359,4,raw_umber,"[1031, 191, 1170, 327]"
360,4,raw_umber,"[1032, 191, 1170, 326]"
361,4,raw_umber,"[1032, 190, 1170, 327]"
365,4,raw_umber,"[1029, 191, 1171, 327]"
366,4,raw_umber,"[1030, 191, 1170, 327]"
367,4,raw_umber,"[1031, 191, 1171, 327]"
368,4,raw_umber,"[1032, 191, 1170, 328]"
369,4,raw_umber,"[1032, 191, 1171, 328]"
370,4,raw_umber,"[1032, 192, 1170, 329]"
371,4,raw_umber,"[1032, 191, 1170, 328]"
372,4,raw_umber,"[1032, 192, 1170, 328]"
373,4,raw_umber,"[1033, 192, 1170, 327]"
374,1,burnt_sienna,"[1047, 729, 1179, 861]"
374,4,raw_umber,"[1032, 192, 1170, 327]"
375,4,raw_umber,"[1033, 192, 1170, 327]"
376,4,raw_umber,"[1031, 192, 1170, 328]"
377,4,raw_umber,"[1032, 192, 1170, 328]"
378,4,raw_umber,"[1032, 192, 1170, 328]"
379,4,raw_umber,"[1033, 192, 1170, 328]"
380,4,raw_umber,"[1032, 192, 1171, 328]"
381,4,raw_umber,"[1032, 192, 1171, 327]"
382,4,raw_umber,"[1031, 192, 1171, 328]"
383,4,raw_umber,"[1031, 192, 1171, 328]"
384,4,raw_umber,"[1032, 192, 1171, 328]"
385,1,dim_gray,"[1043, 706, 1182, 838]"
385,4,raw_umber,"[1032, 192, 1170, 326]"
386,4,raw_umber,"[1032, 191, 1170, 327]"
387,1,burnt_sienna,"[1037, 707, 1178, 837]"
387,4,raw_umber,"[1033, 192, 1170, 327]"
388,1,burnt_sienna,"[1040, 707, 1180, 835]"
388,4,raw_umber,"[1032, 192, 1171, 328]"
389,1,burnt_sienna,"[1042, 705, 1181, 833]"
389,4,raw_umber,"[1032, 192, 1171, 328]"
390,1,burnt_sienna,"[1042, 706, 1181, 833]"
390,4,raw_umber,"[1032, 192, 1170, 328]"
391,4,raw_umber,"[1033, 192, 1171, 326]"
392,1,burnt_sienna,"[1039, 708, 1178, 835]"
392,4,raw_umber,"[1032, 192, 1171, 328]"
393,3,raw_umber,"[1417, 714, 1518, 811]"
393,1,burnt_sienna,"[1043, 706, 1181, 836]"
393,4,raw_umber,"[1032, 192, 1171, 328]"
